County Name,FIPS Code
ADAMS,1
ALLEN,3
BARTHOLOMEW,5
BENTON,7
BLACKFORD,9
BOONE,11
BROWN,13
CARROLL,15
CASS,17
CLARK,19
CLAY,21
CLINTON,23
CRAWFORD,25
DAVIESS,27
DE KALB,33
DEARBORN,29
DECATUR,31
DELAWARE,35
DUBOIS,37
ELKHART,39
FAYETTE,41
FLOYD,43
FOUNTAIN,45
FRANKLIN,47
FULTON,49
GIBSON,51
GRANT,53
GREENE,55
HAMILTON,57
HANCOCK,59
HARRISON,61
HENDRICKS,63
HENRY,65
HOWARD,67
HUNTINGTON,69
JACKSON,71
JASPER,73
JAY,75
JEFFERSON,77
JENNINGS,79
JOHNSON,81
KNOX,83
KOSCIUSKO,85
LA PORTE,91
LAGRANGE,87
LAKE,89
LAWRENCE,93
MADISON,95
MARION,97
MARSHALL,99
MARTIN,101
MIAMI,103
MONROE,105
MONTGOMERY,107
MORGAN,109
NEWTON,111
NOBLE,113
OHIO,115
ORANGE,117
OWEN,119
PARKE,121
PERRY,123
PIKE,125
PORTER,127
POSEY,129
PULASKI,131
PUTNAM,133
RANDOLPH,135
RIPLEY,137
RUSH,139
SCOTT,143
SHELBY,145
SPENCER,147
ST. JOSEPH,141
STARKE,149
STEUBEN,151
SULLIVAN,153
SWITZERLAND,155
TIPPECANOE,157
TIPTON,159
UNION,161
VANDERBURGH,163
VERMILLION,165
VIGO,167
WABASH,169
WARREN,171
WARRICK,173
WASHINGTON,175
WAYNE,177
WELLS,179
WHITE,181
WHITLEY,183
