USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
IN	18001	00450401	Adams County	34387	13014	878079128	2430463	     339.028	       0.938	 40.745733	 -84.936130                                                                                           
IN	18003	00450402	Allen County	355329	152184	1702419942	7028819	     657.308	       2.714	 41.091855	 -85.072230                                                                                        
IN	18005	00451683	Bartholomew County	76794	33098	1053886348	6778454	     406.908	       2.617	 39.205843	 -85.897999                                                                                    
IN	18007	00450403	Benton County	8854	3937	1052616479	236035	     406.418	       0.091	 40.608253	 -87.315479                                                                                            
IN	18009	00450404	Blackford County	12766	6051	427554649	1303587	     165.080	       0.503	 40.472672	 -85.323730                                                                                        
IN	18011	00450405	Boone County	56640	22754	1095338966	878039	     422.913	       0.339	 40.050892	 -86.469014                                                                                           
IN	18013	00451684	Brown County	15242	8285	808026819	12043068	     311.981	       4.650	 39.192585	 -86.239410                                                                                           
IN	18015	00450406	Carroll County	20155	9472	964055949	7237884	     372.224	       2.795	 40.584980	 -86.565141                                                                                          
IN	18017	00450339	Cass County	38966	16474	1067475860	6974441	     412.155	       2.693	 40.753799	 -86.355168                                                                                           
IN	18019	00450340	Clark County	110232	47776	965691140	9312549	     372.855	       3.596	 38.476217	 -85.711122                                                                                          
IN	18021	00450341	Clay County	26890	11703	926029234	7198947	     357.542	       2.780	 39.393951	 -87.115837                                                                                            
IN	18023	00450342	Clinton County	33224	13321	1049126443	461117	     405.070	       0.178	 40.305944	 -86.477567                                                                                         
IN	18025	00451674	Crawford County	10713	5520	791610951	7965600	     305.643	       3.076	 38.289433	 -86.440871                                                                                         
IN	18027	00450343	Daviess County	31648	12471	1112366267	19132567	     429.487	       7.387	 38.696155	 -87.076988                                                                                       
IN	18029	00450344	Dearborn County	50047	20171	790033471	6168701	     305.034	       2.382	 39.151491	 -84.973460                                                                                        
IN	18031	00450345	Decatur County	25740	11209	964946111	1955486	     372.568	       0.755	 39.305980	 -85.499831                                                                                         
IN	18033	00450346	DeKalb County	42223	17558	939710824	2657410	     362.824	       1.026	 41.401189	 -85.000185                                                                                          
IN	18035	00450347	Delaware County	117671	52357	1015596276	9803976	     392.124	       3.785	 40.227165	 -85.398856                                                                                      
IN	18037	00451675	Dubois County	41889	17384	1106622334	20886790	     427.269	       8.064	 38.373344	 -86.873385                                                                                        
IN	18039	00450348	Elkhart County	197559	77767	1199605640	12432308	     463.170	       4.800	 41.600693	 -85.863986                                                                                      
IN	18041	00450349	Fayette County	24277	10898	556883990	384034	     215.014	       0.148	 39.639655	 -85.185032                                                                                          
