county,native,asian,black,hispanic,white,twomore,other,hddall,hddblack,hddwhite,hddhispanic,hddnative,hddasian,nohsd25,noinsurance,medianincome,poverty,totalpop
Warren,0,0.1,0.1,0.9,97.4,1.1,0.3,194.3,NA,195.3,NA,NA,NA,17.5,14.3,53.6,9.9,9464
Monroe,0.1,5.6,3,3,85.6,2.2,0.5,283.5,NA,285.3,NA,NA,NA,8,15.8,42.4,24,139634
Hamilton,0.1,4.9,3.4,3.5,85.7,1.8,0.5,267.8,NA,274.6,NA,NA,NA,3.6,9.6,84,5.5,282977
Spencer,0.2,0.4,0.6,2.5,95.7,0.3,0.2,302.4,NA,300.9,NA,NA,NA,13.5,14.7,50.5,10.5,20960
Wells,0.1,0.5,0.3,2.2,95.9,0.7,0.2,303.4,NA,306.1,NA,NA,NA,9.3,14.1,49.4,11.8,27707
Franklin,0.1,0.4,0.1,0.9,97.7,0.5,0.2,306.6,NA,307.4,NA,NA,NA,14.6,14.4,53.5,11.4,23042
Posey,0,0.1,1.3,0.9,96.5,0.7,0.4,309.2,NA,305.3,NA,NA,NA,7.9,11,58.4,9.6,25713
Martin,0,0.8,0.1,0.3,97.7,0.7,0.3,311.3,NA,315.2,NA,NA,NA,17.1,14.8,46.8,14.9,10269
Carroll,0,0.1,0.5,3.8,94.8,0.7,0.1,311.3,NA,313.2,NA,NA,NA,12.3,16.2,52.5,10.9,20109
Warrick,0.1,1.5,0.9,1.6,93.8,1.7,0.4,313.2,NA,317,NA,NA,NA,7.6,11.8,61.8,7.9,60163
Ohio,0,0,0.6,1.5,91.7,0.4,0.4,317.3,NA,323.2,NA,NA,NA,14.6,14.7,50.5,10.5,6075
Pike,0,0.2,0.1,0,9934,0.1,0.2,318.6,NA,318.8,NA,NA,NA,14.2,14.8,45.6,12.3,12780
Hancock,0.2,0.5,2.1,1.8,93.8,1.3,0.3,319,NA,323,NA,NA,NA,7.4,11.9,67.7,6.5,70466
Porter,0.2,1.3,3,8.7,85.4,1,0.3,321.3,NA,329.1,NA,NA,NA,8.5,13.1,64.5,11.7,165168
Hendricks,0,1.9,5.1,3.1,87.8,1.4,0.7,328.8,NA,334.9,NA,NA,NA,6.5,10.9,68.5,6.4,148623
Allen,0.2,2.7,11.7,6.6,76,2.2,0.6,330.9,388.1,328.9,208.6,NA,NA,10.9,17.2,45.5,17,358324
White,0,0.1,0.1,7.2,90.6,1.4,0.5,331.5,NA,337.8,NA,NA,NA,10.8,17.1,48.5,12.4,24542
Marshall,0.1,0.6,0.5,8.7,89,0.8,0.2,335.5,NA,337.7,NA,NA,NA,15.6,18.9,45.8,13.8,47057
Bartholomew,0.3,4.1,1.9,6.2,86.1,0.9,0.5,335.1,NA,337.4,NA,NA,NA,10.8,14.9,54.3,11.6,77930
Dearborn,0.2,0.5,0.7,1,96.7,0.7,0.1,335.2,NA,337.7,NA,NA,NA,11,13.5,55,10.8,49975
Tippecanoe,0.1,6.5,4.1,7.6,79.7,1.7,0.2,335.4,NA,343.6,NA,NA,NA,9.2,17.3,47.8,19.6,175628
St. Joseph,0.3,1.9,12.6,7.5,75.2,2.2,0.2,336.6,483.1,326.8,NA,NA,NA,12.1,16.7,40.9,20.1,266694
Wabash,0.9,0.3,0.6,2.1,95.1,0.7,0.3,337.4,NA,338.2,NA,NA,NA,13.8,16,45.8,14.2,32650
